No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
223,Topps,tp,tp_2025_US_#US010,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US010,Alejandro Osuna,Texas Rangers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US011,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US011,,,,,base,,,,,,,
217,Topps,tp,tp_2025_US_#US012,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US012,Andres Munoz,Seattle Mariners,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
87,Topps,tp,tp_2025_US_#US013,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US013,Jose Trevino,Cincinnati Reds,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
198,Topps,tp,tp_2025_US_#US014,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US014,Denzel Clarke,Athletics,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US015,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US015,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US016,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US016,,,,,base,,,,,,,
209,Topps,tp,tp_2025_US_#US017,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US017,Garrett McDaniels,Los Angeles Angels,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
106,Topps,tp,tp_2025_US_#US018,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US018,Evan Phillips,Los Angeles Dodgers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US019,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US019,,,,,base,,,,,,,
199,Topps,tp,tp_2025_US_#US020,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US020,Mitch Spence,Athletics,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US021,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US021,,,,,base,,,,,,,
54,Topps,tp,tp_2025_US_#US022,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US022,Blade Tidwell,New York Mets,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US023,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US023,,,,,base,,,,,,,
210,Topps,tp,tp_2025_US_#US024,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US024,Yoan Moncada,Los Angeles Angels,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US025,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US025,,,,,base,,,,,,,
161,Topps,tp,tp_2025_US_#US026,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US026,"Steven Kwan, Jose Ramirez",Cleveland Guardians,CC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
63,Topps,tp,tp_2025_US_#US027,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US027,Justin Turner,Chicago Cubs,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
72,Topps,tp,tp_2025_US_#US028,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US028,Grant Koch,Pittsburgh Pirates,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
97,Topps,tp,tp_2025_US_#US029,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US029,Luis Matos,San Francisco Giants,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
80,Topps,tp,tp_2025_US_#US030,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US030,Eric Haase,Milwaukee Brewers,,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US031,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US031,,,,,base,,,,,,,
73,Topps,tp,tp_2025_US_#US032,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US032,Braxton Ashcraft,Pittsburgh Pirates,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US033,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US033,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US034,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US034,,,,,base,,,,,,,
61,Topps,tp,tp_2025_US_#US035,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US035,Steven Matz,St. Louis Cardinals,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
156,Topps,tp,tp_2025_US_#US036,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US036,Luis Guerrero,Boston Red Sox,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
174,Topps,tp,tp_2025_US_#US037,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US037,Zebby Matthews,Minnesota Twins,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
107,Topps,tp,tp_2025_US_#US038,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US038,Dalton Rushing,Los Angeles Dodgers,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
31,Topps,tp,tp_2025_US_#US039,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US039,Brad Lord,Washington Nationals,RC,,base,,2,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
55,Topps,tp,tp_2025_US_#US040,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US040,Griffin Canning,New York Mets,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US041,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US041,,,,,base,,,,,,,
168,Topps,tp,tp_2025_US_#US042,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US042,Manuel Margot,Detroit Tigers,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US043,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US043,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US044,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US044,,,,,base,,,,,,,
191,Topps,tp,tp_2025_US_#US045,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US045,Cam Smith,Houston Astros,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
